title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Offline-first card editing,In Build,Mobile App,medium,2026-04-21,2,Core|Compliance,demo1,0,0,1,
Apple Watch complication -- card due dates,Scoped,Core Platform,medium,2026-04-26,5,AI / ML,demo3,0,0,2,
Barcode scanner for card attachment,Idea,Integrations,high,2026-02-26,7,Compliance,,0,0,2,
Push notification preferences,Validated,Analytics,low,2026-02-15,4,,demo2,0,0,1,
Mobile board creation wizard,Beta,Compliance & Security,medium,,8,AI / ML|Platform,demo4,0,0,0,
Gesture-based card priority change,Monitoring,Collaboration,low,2026-04-16,8,AI / ML,demo1,0,0,2,
Mobile-optimized analytics dashboard,Prioritized,Import & Export,medium,2026-03-13,6,,demo3,0,0,0,
Voice-to-card creation via Siri Shortcuts,Prioritized,Automation,medium,,7,,,0,0,0,
Tablet split-view for board and card detail,Beta,Admin & Settings,urgent,2026-03-05,4,Compliance,demo2,0,0,1,
Mobile app widget for assigned cards count,Beta,Search & Discovery,medium,2026-03-07,1,,demo4,0,0,2,
Biometric lock for sensitive boards,Launched,Mobile App,urgent,2026-04-19,2,Compliance|Core,demo1,0,0,0,
Camera-to-checklist OCR for handwritten lists,In Build,Core Platform,urgent,,1,Core,demo3,0,0,0,
AI card description generator,Validated,Integrations,medium,,8,Platform,,0,0,1,
Card templates library,Prioritized,Analytics,medium,,1,UX|AI / ML,demo2,0,0,2,
Multi-board card linking,Validated,Compliance & Security,urgent,2026-03-14,3,,demo4,0,0,2,
Board activity feed,Validated,Collaboration,low,,2,Compliance|Platform,demo1,0,0,1,
Real-time collaboration cursors,Launched,Import & Export,low,,5,UX|AI / ML,demo3,0,0,2,
Card dependency graph visualization,Idea,Automation,high,2026-03-01,5,AI / ML|UX,,0,0,1,
Board versioning and snapshot restore,Validated,Admin & Settings,urgent,,7,,demo2,0,0,1,
Custom card fields per board,Prioritized,Search & Discovery,low,2026-03-15,4,AI / ML|Platform,demo4,0,0,1,
Bulk card operations toolbar,Prioritized,Mobile App,medium,,6,Compliance,demo1,0,0,1,
Board cloning with selective content,Prioritized,Core Platform,medium,2026-04-21,7,UX|Compliance,demo3,0,0,0,
Card cover images from attachments,In Build,Integrations,medium,,7,,,0,0,0,
Recurring cards on a schedule,Prioritized,Analytics,low,,6,,demo2,0,0,1,
Slack /visiban command,Scoped,Compliance & Security,medium,,4,Core|AI / ML,demo4,0,0,1,
GitHub PR to card status sync,Prioritized,Collaboration,high,2026-03-28,7,Platform,demo1,0,0,2,
Zapier integration -- GA,Idea,Import & Export,high,2026-04-06,7,UX|Core,demo3,0,0,0,
CSV import with column mapping UI,Beta,Automation,high,2026-03-06,1,AI / ML|Core,,0,0,1,
Jira two-way sync for hybrid teams,Validated,Admin & Settings,medium,2026-02-15,2,Core,demo2,0,0,1,
Microsoft Teams bot for card notifications,Validated,Search & Discovery,low,,6,Core,demo4,0,0,2,
Linear import tool for migrating teams,Validated,Mobile App,medium,2026-02-20,6,UX,demo1,0,0,0,
Webhook retry dashboard with manual replay,In Build,Core Platform,medium,2026-04-18,7,,demo3,0,0,1,
Google Calendar sync for card due dates,In Build,Integrations,medium,2026-04-06,8,Platform,,0,0,0,
Figma embed in card description,Monitoring,Analytics,high,2026-03-06,1,UX|AI / ML,demo2,0,0,2,
PagerDuty integration for incident boards,Scoped,Compliance & Security,medium,,2,Core|Platform,demo4,0,0,0,
Notion page link preview in card comments,Beta,Collaboration,medium,2026-03-25,6,UX|Platform,demo1,0,0,1,
Cumulative flow diagram,Scoped,Import & Export,high,2026-02-13,8,Platform,demo3,0,0,0,
Cycle time histogram,In Build,Automation,urgent,2026-02-23,2,Core|UX,,0,0,2,
Throughput report -- weekly/monthly,Prioritized,Admin & Settings,medium,2026-03-13,1,Platform|Core,demo2,0,0,0,
Analytics API -- public endpoints,Beta,Search & Discovery,medium,2026-04-17,6,AI / ML|Platform,demo4,0,0,1,
Swimlane dwell time heatmap,Launched,Mobile App,urgent,2026-04-20,5,AI / ML,demo1,0,0,0,
Card aging distribution chart,Beta,Core Platform,low,,1,,demo3,0,0,2,
WIP limit violation trend report,Idea,Integrations,high,,4,,,0,0,1,
Team velocity comparison across boards,Scoped,Analytics,low,2026-02-25,1,AI / ML,demo2,0,0,0,
Bottleneck detection with AI recommendations,Beta,Compliance & Security,medium,2026-03-15,6,,demo4,0,0,1,
Custom date range selector for all analytics,In Build,Collaboration,urgent,2026-04-11,2,Core,demo1,0,0,2,
Exportable analytics PDF report,Idea,Import & Export,urgent,2026-02-25,7,Compliance,demo3,0,0,1,
Lead time vs cycle time breakdown,Launched,Automation,medium,2026-03-17,6,Platform|AI / ML,,0,0,0,
GDPR right-to-erasure automation,Beta,Admin & Settings,medium,2026-04-23,3,AI / ML|UX,demo2,0,0,0,
SOC 2 Type II -- audit logging,Beta,Search & Discovery,medium,2026-03-10,4,Platform|Compliance,demo4,0,0,0,
