title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Add time-in-stage heatmap to analytics,Backlog,Acme Corp,medium,2026-04-04,6,,demo5,0,0,2,"Add a ""Archive selected"" action to the bulk action toolbar. Archived cards shoul"
Add card quick-add shortcut to swimlane,To Do,Acme Corp,medium,,4,Bug;Improvement,demo5,0,0,0,Current coverage for `CardMovement` creation and the `from_*_name` denormalizati
Add swimlane color picker to edit modal,To Do,Acme Corp,medium,2026-03-30,8,,demo5,2,1,3,The WebSocket connection silently dies when the Django backend rotates the JWT a
Add pagination to movement history endpoint,Doing,Acme Corp,medium,2026-04-05,3,Improvement,demo2,3,2,0,Touch-based drag-and-drop is broken on iOS Safari 17. The `@dnd-kit/core` pointe
Set up MinIO for local dev attachments,Doing,Acme Corp,high,2026-03-29,7,Feature;Improvement,demo3,0,0,0,## Observed  Loading `/api/boards/{id}/full/` takes 2–3 s on a board with 800+ c
Implement rate limiting on auth endpoints,Doing,Acme Corp,low,,5,Improvement,demo5,0,0,0,Keyboard shortcut `N` (when focus is outside an input) should open a quick-add m
Fix column separator drag on Firefox,Doing,Acme Corp,high,2026-04-03,7,,demo3,0,0,2,## Observed  Loading `/api/boards/{id}/full/` takes 2–3 s on a board with 800+ c
Improve error messages on 403 responses,Done,Acme Corp,medium,2026-03-03,4,,demo2,0,0,3,Keyboard shortcut `N` (when focus is outside an input) should open a quick-add m
Add attachment preview for PDFs,Done,Acme Corp,high,2026-03-28,6,Bug;Feature,demo5,4,2,0,Current coverage for `CardMovement` creation and the `from_*_name` denormalizati
Write API docs for /boards/{id}/full/,Done,Acme Corp,medium,,8,,,0,0,1,The WebSocket connection silently dies when the Django backend rotates the JWT a
Fix Google OAuth callback 500 on new user,Backlog,Beta Team,medium,2026-03-19,5,Bug;Improvement,demo1,5,0,3,## Problem  The login flow redirects to `/dashboard` even when the user came fro
Add Prometheus metrics endpoint,Backlog,Beta Team,medium,2026-02-27,6,Bug;Improvement,demo3,3,1,3,## Goal  Allow board admins to download a CSV of all card movements for external
Fix due-date badge color for overdue cards,Doing,Beta Team,high,,6,Feature,demo5,0,0,1,Current coverage for `CardMovement` creation and the `from_*_name` denormalizati
Add read-only viewer role enforcement,Doing,Beta Team,urgent,2026-02-28,1,,demo3,0,0,0,Touch-based drag-and-drop is broken on iOS Safari 17. The `@dnd-kit/core` pointe
