title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
SSO login fails for new users after v1.2 deploy,Triaged,Globex Corp,high,2026-03-17,4,"Integration,P2 High",demo3,3,1,1,New users provisioned via SAML after the v1.2 deploy cannot log in. Existing use
API returns 500 on bulk card export,Investigating,Globex Corp,urgent,2026-03-14,5,P1 Critical,demo3,4,2,2,## Reported  POST `/api/boards/{id}/export/` returns HTTP 500 when the board has
Board load time regression after v1.2,Investigating,Globex Corp,high,2026-03-12,4,P2 High,demo4,4,1,1,Large boards (800+ cards) are taking 4–6 s to load since v1.2. Previous baseline
Webhooks not firing on card moves,Awaiting Customer,Globex Corp,medium,2026-03-20,3,"Integration,P2 High",demo2,3,2,2,Globex has a Zapier integration that listens for `card.moved` webhook events. Si
Feature request: CSV export include archived cards,Resolved,Globex Corp,low,,2,P3 Normal,demo1,2,2,1,Customer requests that the CSV export include archived cards with an `is_archive
Permission error when creating swimlanes,Triaged,Pinnacle Media,high,2026-03-16,3,P2 High,demo3,3,1,1,"Board members with Member role get a 403 when trying to add a swimlane, even tho"
Labels not persisting on card edit,Investigating,Pinnacle Media,medium,2026-03-10,3,P2 High,demo2,2,1,1,"When a card is edited and saved, labels are cleared. The UI shows them momentari"
Email notifications for @mentions not delivered,Awaiting Customer,Pinnacle Media,high,2026-03-22,4,P2 High,demo5,3,2,2,Users are not receiving email notifications when @mentioned in card comments. In
Resolved: browser cache causing stale board state,Closed,Pinnacle Media,low,,1,P3 Normal,demo1,3,3,1,Customer reported boards showing cards in wrong columns. Root cause: browser cac
Board export missing checklist data,Triaged,Orion Software,medium,2026-03-18,3,P3 Normal,demo2,3,0,1,CSV and JSON exports do not include checklist items. The API response includes t
SAML assertion fails intermittently (1 in 20 logins),Investigating,Orion Software,urgent,2026-03-13,5,"Integration,P1 Critical",demo3,3,1,1,"~5% of SAML logins fail with `InResponseTo mismatch`. Affects all users, not jus"
WIP limit not enforced when dragging from archived view,Resolved,Orion Software,medium,,2,P3 Normal,demo4,3,3,1,Cards restored from the archived panel bypass WIP limit checks and are placed in
Compliance audit — provide access logs for Q1,Triaged,Vertex Trading,high,2026-03-25,5,P2 High,demo5,4,1,1,Vertex requires a full access log export for Q1 2026 for their internal complian
Historical card movements not visible in History tab,Investigating,Vertex Trading,medium,2026-03-11,3,P3 Normal,demo1,2,1,1,Cards moved before 2026-01-01 show no movement history. The History tab displays
"Data export times out on board with 2,000+ cards",Awaiting Customer,Vertex Trading,high,2026-03-29,4,P2 High,demo4,3,1,1,The JSON export endpoint times out (30s Nginx limit) for their largest board. Th
Resolved: increased Nginx timeout for large exports,Closed,Vertex Trading,low,,1,P3 Normal,demo1,3,3,1,Interim resolution applied: Nginx proxy timeout increased from 30s to 120s for t
Onboarding: how to bulk-import cards from CSV?,New,Cascade Dynamics,low,,2,P3 Normal,demo5,2,0,0,New customer asking about the bulk import feature. They have 300 cards in a spre
Mobile: cards overlap on small screens (< 375px),Triaged,Cascade Dynamics,medium,2026-03-20,3,P3 Normal,demo2,2,1,1,"On iPhone SE (375px wide), cards in the board view overflow and overlap adjacent"
Drag handle unresponsive in Firefox 124,Investigating,Cascade Dynamics,medium,2026-03-07,3,P2 High,demo3,3,1,1,Card drag-and-drop stops working after the first successful drop in Firefox 124.
