title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
TKT-1041: Board load hangs after 300+ cards,Investigating,TechNova Inc,high,2026-04-10,7,Billing,,0,0,2,
TKT-1028: Webhook not firing on card archive,Escalated,Apex Retail Group,high,2026-03-25,4,"Security,Feature Request",demo2,2,1,0,
TKT-1015: SSO login loop on Safari 17.4,Resolved,FinEdge Ltd,urgent,2026-04-27,6,Security,demo4,0,0,2,
TKT-1009: Export CSV missing swimlane column,Awaiting Customer,BlueSky Health,medium,2026-03-30,1,"Performance,Security",demo1,2,2,2,
TKT-1052: Board duplication fails silently for boards with 50+ cards,Awaiting Customer,Mosaic Creative,medium,2026-03-21,2,"Performance,Billing",demo3,0,0,0,
TKT-1058: Card weight not included in webhook payload,Awaiting Customer,Global Freight Co,medium,,7,"Performance,Billing",,0,0,2,
TKT-1063: Due date reminder email sent twice,New,Pinnacle Finance,medium,,8,Billing,demo2,0,0,2,
TKT-1067: Board settings modal blank on Firefox 124,Awaiting Customer,Redwood Agency,high,2026-04-26,5,Billing,demo4,2,0,0,
TKT-1071: Card description markdown preview not rendering tables,New,Atlas Logistics BV,medium,2026-04-28,4,"Feature Request,Security",demo1,3,3,0,
TKT-1074: Swimlane reorder drag handle unresponsive on touch devices,Investigating,Vertex Media,urgent,2026-04-14,1,Performance,demo3,5,2,0,
TKT-2033: Cards not syncing across browser tabs,Escalated,Ironside Manufacturing,high,2026-03-16,5,Billing,,0,0,0,
TKT-2027: Swimlane collapse state not persisting,Escalated,TechNova Inc,medium,2026-03-29,5,"Security,Billing",demo2,0,0,0,
TKT-2019: Request — bulk card move between swimlanes,Triaged,Apex Retail Group,medium,,2,"Billing,Security",demo4,4,1,1,
TKT-2011: Board permissions not applying to new members,Investigating,FinEdge Ltd,high,2026-03-02,1,,demo1,0,0,2,
TKT-2041: Card filter by label returns stale results,Triaged,BlueSky Health,low,,2,Performance,demo3,0,0,0,
TKT-2046: Mobile web board view cuts off last swimlane,New,Mosaic Creative,medium,2026-03-07,1,,,5,2,2,
TKT-2049: CSV import maps columns incorrectly on retry,Triaged,Global Freight Co,low,2026-04-12,5,Billing,demo2,0,0,1,
TKT-2053: Email notification for card comment mentions wrong board name,Escalated,Pinnacle Finance,medium,,6,Feature Request,demo4,0,0,1,
TKT-2058: Request — custom card fields for store number,Investigating,Redwood Agency,medium,,6,Billing,demo1,0,0,0,
TKT-2062: Board archive button missing for admin users on mobile,New,Atlas Logistics BV,low,2026-03-05,7,"Bug,Billing",demo3,3,1,2,
TKT-3044: Audit log export missing movement events,Resolved,Vertex Media,low,2026-04-21,6,Bug,,0,0,0,
TKT-3038: 2FA enforcement not applying to SSO users,Triaged,Ironside Manufacturing,high,2026-03-26,8,Performance,demo2,0,0,0,
TKT-3025: API rate limit headers missing from responses,Investigating,TechNova Inc,low,2026-04-19,7,Performance,demo4,0,0,0,
TKT-3014: Webhook HMAC signature docs incorrect,Escalated,Apex Retail Group,medium,2026-02-13,4,Security,demo1,2,1,0,
TKT-3051: Board export includes archived cards despite filter,New,FinEdge Ltd,medium,2026-03-02,7,"Security,Performance",demo3,3,2,0,
TKT-3056: Activity feed not loading for boards with 1000+ activities,Escalated,BlueSky Health,urgent,2026-03-23,8,"Performance,Security",,0,0,2,
TKT-3061: API token scope too broad for read-only integrations,New,Mosaic Creative,high,2026-02-15,4,Performance,demo2,2,2,1,
TKT-3065: Card movement audit trail missing timezone info,Closed,Global Freight Co,medium,,6,"Feature Request,Billing",demo4,0,0,0,
TKT-3069: Request — scheduled board export to SFTP,Awaiting Customer,Pinnacle Finance,medium,2026-02-20,3,"Performance,Security",demo1,4,3,1,
TKT-3073: Column WIP limit enforcement off by one,Escalated,Redwood Agency,low,2026-04-07,3,"Feature Request,Billing",demo3,0,0,0,
TKT-4029: Card attachments not uploading for HIPAA users,Escalated,Atlas Logistics BV,low,2026-03-09,1,Bug,,3,2,1,
TKT-4021: Board export failing for HIPAA tenant,Resolved,Vertex Media,high,2026-03-11,7,,demo2,0,0,0,
TKT-4018: Email notification delays in HIPAA tenant,Investigating,Ironside Manufacturing,high,2026-03-24,5,"Security,Bug",demo4,0,0,0,
TKT-4005: Board member cannot see swimlane after invite,Escalated,TechNova Inc,medium,,6,Performance,demo1,0,0,0,
TKT-4035: Card comment @mention autocomplete not filtering HIPAA users,New,Apex Retail Group,high,,7,Billing,demo3,3,1,0,
TKT-4039: Board template creation fails with 500 for HIPAA tenant,Investigating,FinEdge Ltd,medium,,6,"Feature Request,Bug",,0,0,0,
TKT-4043: Request — PHI redaction on board export,New,BlueSky Health,urgent,2026-02-13,7,Bug,demo2,0,0,2,
TKT-4047: Checklist completion percentage rounds incorrectly,Resolved,Mosaic Creative,high,2026-02-13,7,"Performance,Billing",demo4,5,3,2,
TKT-4051: Card due date reminder goes to wrong timezone,Triaged,Global Freight Co,urgent,,1,"Security,Performance",demo1,2,2,0,
TKT-4055: Request — HIPAA audit log retention policy setting,Awaiting Customer,Pinnacle Finance,urgent,,1,"Billing,Bug",demo3,0,0,0,
TKT-5018: Colors not saving on card labels,Triaged,Redwood Agency,high,2026-02-17,3,,,3,1,2,
TKT-5014: Request — keyboard shortcut to archive card,Escalated,Atlas Logistics BV,medium,,2,"Bug,Performance",demo2,0,0,0,
TKT-5009: Import CSV failing on special characters,Investigating,Vertex Media,urgent,2026-04-04,6,"Security,Performance",demo4,5,5,0,
TKT-5003: Due date filter returning no results,Triaged,Ironside Manufacturing,medium,2026-02-26,2,"Security,Billing",demo1,0,0,1,
TKT-5023: Card drag ghost image too small on 4K displays,Investigating,TechNova Inc,high,2026-02-26,1,Performance,demo3,0,0,2,
TKT-5027: Board background color resets after page reload,Escalated,Apex Retail Group,high,,4,Security,,4,4,2,
TKT-5031: Request — card cover images from attachments,Triaged,FinEdge Ltd,low,2026-02-13,7,"Billing,Security",demo2,3,3,2,
TKT-5035: Swimlane color picker doesn't show current color,Triaged,BlueSky Health,urgent,2026-02-27,4,Performance,demo4,5,2,2,
TKT-5039: Request — recurring card due dates,New,Mosaic Creative,high,2026-04-05,7,"Performance,Bug",demo1,3,0,0,
TKT-5043: Board member list not sorted alphabetically,Investigating,Global Freight Co,urgent,2026-02-14,2,Security,demo3,5,3,0,
TKT-6001: Board load timeout on boards with 15+ swimlanes,Investigating,Pinnacle Finance,medium,2026-03-11,8,Security,,0,0,1,
TKT-6005: Card movement history truncated at 100 entries,Escalated,Redwood Agency,low,2026-03-28,2,Feature Request,demo2,0,0,2,
TKT-6009: Webhook delivery retries not respecting exponential backoff,Escalated,Atlas Logistics BV,high,2026-04-09,7,Security,demo4,0,0,1,
TKT-6013: Request — swimlane-level WIP limits,Escalated,Vertex Media,urgent,,2,Billing,demo1,5,5,1,
TKT-6017: CSV export encoding issue with non-Latin characters in card titles,Resolved,Ironside Manufacturing,high,2026-03-02,6,"Bug,Feature Request",demo3,3,1,1,
TKT-6021: Board member role change not reflected until re-login,Investigating,TechNova Inc,medium,2026-04-11,1,,,0,0,1,
