title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Initial Outreach — Enterprise Platform,Prospect,North America,medium,2026-04-05,3,Enterprise,demo3,3,0,0,First contact with a Series C SaaS company's procurement team. VP Engineering ex
Platform Migration — 500 Seats,Discovery,North America,high,2026-03-29,6,"Enterprise,Strategic",,4,2,2,Full platform migration for a Series C SaaS account with 3 Jira instances to con
Analytics Add-on Proposal,Proposal Sent,North America,high,2026-03-22,4,"Enterprise,Upsell",demo2,4,2,1,Add-on proposal for Analytics module on top of the base platform deal. Combined 
500-Seat Enterprise Deal — Closed Won,Closed Won,North America,high,2026-03-10,8,"Enterprise,Strategic",demo4,4,4,2,500-seat enterprise deal closed after 60-day sales cycle. Includes platform + an
Ops Board Pilot — 50 Stores,Qualified,APAC,medium,2026-04-12,3,SMB,demo1,3,2,0,200-location retail chain flagged as qualified after inbound inquiry. Ops team w
Operations Board Demo — CTO,Demo,APAC,high,2026-03-25,5,"SMB,Strategic",demo3,4,2,1,Live demo for CTO and ops director showing the retail-specific board template. F
Contract Review — Budget Objection,Negotiation,APAC,urgent,2026-03-18,6,SMB,,3,1,2,Deal stalled on seasonal budget freeze. Now active again with CFO involved. Nego
Retail Pilot — Lost to Competitor,Closed Lost,APAC,medium,2026-02-28,3,SMB,demo2,2,2,2,Pilot converted to full evaluation but lost to a lower-cost competitor. Champion
Compliance Workflow License — 80 Seats,Qualified,EMEA,high,2026-04-09,4,"Enterprise,Strategic",demo4,3,2,0,Fintech prospect focused on compliance workflows. SOC 2 requirement is non-negot
Engineering Team Discovery Call,Discovery,EMEA,high,2026-04-02,5,Enterprise,demo1,4,2,1,Deep-dive discovery with VP Product and two senior engineers. Compliance audit t
Compliance Platform Proposal — 80 Seats,Proposal Sent,EMEA,urgent,2026-03-20,6,"Enterprise,Strategic",demo3,4,3,1,"Full commercial proposal including DPA, GDPR data processing addendum, and SOC 2"
80-Seat Fintech Deal — Closed Won,Closed Won,EMEA,high,2026-03-05,7,Enterprise,,4,4,2,80-seat deal closed with GDPR DPA and SOC 2 compliance documentation. Strong fin
Healthcare Platform — Initial Outreach,Prospect,LATAM,low,2026-04-19,2,Enterprise,demo2,3,0,0,Inbound lead from a regional healthcare provider exploring project tracking for 
Patient Care Workflow Demo — VP Operations,Demo,LATAM,high,2026-03-27,5,"Enterprise,Strategic",demo4,4,2,1,Demo for VP Operations showing a healthcare-specific workflow template. Data com
Data Processing Agreement Negotiation,Negotiation,LATAM,urgent,2026-03-21,7,"Enterprise,Strategic",demo1,4,2,2,Data processing agreement in final legal review on both sides. VP Operations is 
200-Seat Healthcare Deal — Closed Won,Closed Won,LATAM,high,2026-03-12,8,"Enterprise,Strategic",demo3,4,4,2,200-seat 3-year deal closed with full compliance documentation and enterprise MS
Creative Agency Sprint Boards — 30 Seats,Qualified,ANZ,medium,2026-04-04,3,SMB,,3,2,0,Small creative agency looking for a lightweight kanban for campaign sprint track
Agency Workflow Demo — Ops Director,Demo,ANZ,high,2026-03-23,4,SMB,demo2,4,2,1,30-minute demo focused on the content production board template. Ops Director ha
Campaign Sprint Boards — Closed Won,Closed Won,ANZ,medium,2026-03-07,4,SMB,demo4,3,3,2,30-seat SMB deal closed 8 days after initial contact. Content production templat
Video Production Add-on — Lost,Closed Lost,ANZ,low,2026-02-23,2,"SMB,Upsell",demo1,2,2,1,Upsell attempt for video production workflow add-on. Lost to a Notion template b
