title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Why your CRM and project tool shouldn't be the same app,Draft,Blog Posts,low,2026-04-02,2,Thought Leadership,demo2,2,1,0,Opinion piece differentiating Visiban from tools that try to do too much. Target
5 ways to run a better sprint retrospective,Final Approval,Blog Posts,medium,2026-03-20,3,"Product,SEO",demo1,5,4,1,Practical tips for engineering teams running retros. Tie in Visiban retro board 
How Visiban's swimlane model reduces handoff delays,Published,Blog Posts,high,,4,"Evergreen,SEO,Thought Leadership",demo2,5,5,1,Thought leadership piece explaining how grouping work by account or team in swim
Mosaic Creative: managing 12 client campaigns on one board,Internal Review,Case Studies,medium,2026-03-25,3,Customer Story,demo1,4,3,1,Short-form case study (500 words) on Mosaic Creative's swimlane-per-client workf
How TechNova cut sprint planning time by 40%,Scheduled,Case Studies,high,2026-03-30,5,"Customer Story,Product",demo5,5,5,1,Case study featuring TechNova's adoption of Visiban for engineering sprint track
Live webinar: Kanban for customer success teams,Idea,Video & Webinars,medium,2026-04-14,3,"Product,Thought Leadership",demo5,3,0,0,60-minute webinar targeting CS leaders. Demo Visiban's customer_success template
Getting started with Visiban — 5-min explainer video,Edits,Video & Webinars,high,2026-03-22,4,"Evergreen,Product",demo3,5,4,1,"Onboarding video covering: creating a board, adding swimlanes, creating cards, a"
Weekly newsletter — week of 2026-03-23,Internal Review,Email & Newsletter,medium,2026-03-17,2,Evergreen,demo2,4,3,0,"Friday newsletter: 3 kanban tips, 1 customer spotlight (Mosaic), and the upcomin"
March product update email,Published,Email & Newsletter,high,,3,Product,demo1,4,4,1,"Monthly product update email covering: template library v2, new Slack integratio"
X thread: 5 kanban anti-patterns,Assigned,Social & Short-form,low,2026-03-27,1,Thought Leadership,demo1,2,0,0,"Thread covering common mistakes teams make on kanban boards: infinite WIP, no sw"
LinkedIn carousel: swimlane vs. simple list,Final Approval,Social & Short-form,medium,2026-03-19,2,"SEO,Thought Leadership",demo5,5,4,1,10-slide LinkedIn carousel explaining when to use swimlanes vs. a simple columna
