title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Improve error messages on 403 responses,Backlog,Acme Corp,urgent,2026-03-20,3,Improvement,demo3,0,0,3,## Goal  Allow board admins to download a CSV of all card movements for external
Add card quick-add shortcut to swimlane,To Do,Acme Corp,medium,,4,"Bug,Improvement",demo5,0,0,0,Current coverage for `CardMovement` creation and the `from_*_name` denormalizati
Add pagination to movement history endpoint,Doing,Acme Corp,medium,2026-04-05,3,Improvement,demo2,3,2,0,Touch-based drag-and-drop is broken on iOS Safari 17. The `@dnd-kit/core` pointe
Set up MinIO for local dev attachments,Doing,Acme Corp,medium,2026-03-30,1,Improvement,demo4,0,0,0,## Goal  Allow board admins to download a CSV of all card movements for external
Implement rate limiting on auth endpoints,Doing,Acme Corp,urgent,,2,"Bug,Improvement",demo1,2,1,2,Current coverage for `CardMovement` creation and the `from_*_name` denormalizati
Add swimlane color picker to edit modal,Doing,Acme Corp,medium,2026-04-10,8,,demo5,2,1,3,## What  The `POST /api/boards/{board_id}/swimlanes/reorder/` endpoint re-fetche
Add time-in-stage heatmap to analytics,Doing,Acme Corp,low,2026-02-21,6,,demo4,0,0,2,"Add a ""Archive selected"" action to the bulk action toolbar. Archived cards shoul"
Write API docs for /boards/{id}/full/,Done,Acme Corp,medium,,8,,,0,0,1,The WebSocket connection silently dies when the Django backend rotates the JWT a
Add card duplication action,Backlog,Beta Team,medium,2026-03-20,3,,demo3,0,0,2,Keyboard shortcut `N` (when focus is outside an input) should open a quick-add m
Fix Google OAuth callback 500 on new user,To Do,Beta Team,low,,2,,demo2,4,1,0,## Goal  Allow board admins to download a CSV of all card movements for external
Add read-only viewer role enforcement,To Do,Beta Team,high,2026-03-20,5,"Bug,Feature",,4,2,0,## Problem  The login flow redirects to `/dashboard` even when the user came fro
Add Prometheus metrics endpoint,To Do,Beta Team,urgent,2026-03-24,7,,demo4,3,1,2,## What  The `POST /api/boards/{board_id}/swimlanes/reorder/` endpoint re-fetche
