title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
New AWS vendor agreement — DPA review,Under Review,Engineering,high,2026-03-25,4,"GDPR,Vendor",demo4,2,1,1,AWS updated its Data Processing Addendum. Legal must review against current GDPR
GDPR data deletion pipeline — legal sign-off,Approved,Engineering,urgent,,5,"GDPR,Policy",demo3,4,3,1,Request for legal sign-off on the automated GDPR erasure pipeline.  Pipeline cas
Penetration test scope approval,Approved,Engineering,medium,,2,SOC 2,demo1,3,2,1,Annual pen test scope requires legal review before external firm is granted stag
Customer MSA redline review — TechNova,Needs Clarification,Finance,urgent,2026-03-18,5,Contract,demo1,4,2,1,TechNova's legal team proposed two redlines on the MSA:  1. Liability cap: 2x AR
Accounts payable policy update,Approved,Finance,medium,,3,Policy,demo2,4,3,1,Updated AP policy requiring dual approval for any invoice > $10k. Policy change 
Remote work policy — legal review,Under Review,HR & People,high,2026-03-29,4,Policy,demo4,4,2,1,Updated remote work policy covering 14 countries. Legal must confirm compliance 
Employee data retention policy,Closed,HR & People,medium,,2,"GDPR,Policy",demo3,4,4,1,"Define and document how long employee records are retained, segmented by record "
HIPAA BAA — BlueSky Health,Needs Clarification,Sales & Customer Contracts,urgent,2026-03-20,4,Contract,demo1,4,2,1,BlueSky Health requires a HIPAA Business Associate Agreement before any trial da
NDA request — GlobalBank Corp,Approved,Sales & Customer Contracts,high,,2,Contract,demo5,4,3,1,GlobalBank requires a mutual NDA before sharing their IT architecture diagrams f
Apache 2.0 vs ELv2 boundary review,Under Review,Product & Engineering Policy,high,2026-03-27,3,Policy,demo4,4,1,1,Annual review of the OSS/enterprise license boundary. Confirm all files in enter
New dependency license review — celery 5.4,Approved,Product & Engineering Policy,low,,1,Policy,demo3,3,2,1,celery 5.4 has been proposed as a dependency. BSD 3-Clause license — confirm com
