title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Acme Corp -- Annual Platform License,Proposal Sent,North America,low,,4,Upsell,demo4,0,0,2,
Pinnacle Health -- HIPAA Module Add-on,Discovery,APAC,medium,,6,Enterprise|Strategic,demo1,0,0,0,
Brightwave Systems -- 300-Seat Migration from Jira,Negotiation,EMEA,high,2026-02-28,7,Upsell|Strategic,demo3,0,0,0,
Forge Analytics -- Enterprise Analytics Bundle,Prospect,LATAM,medium,,2,,,0,0,2,
Redwood Therapeutics -- Clinical Ops Board License,Discovery,ANZ,high,2026-02-22,3,SMB,demo2,0,0,1,
Summit Financial -- Compliance Workflow Package,Negotiation,UK & Ireland,urgent,2026-02-17,6,SMB,demo4,0,0,2,
Vanguard Logistics -- 150-Seat Renewal + Expansion,Qualified,DACH,medium,2026-04-25,5,Upsell|Renewal,demo1,0,0,2,
NovaGen Biotech -- Lab Management Board Pilot,Proposal Sent,Nordics,medium,2026-04-24,1,Upsell,demo3,0,0,0,
Apex Manufacturing -- Factory Floor Kanban,Discovery,Middle East,medium,2026-04-12,1,,,0,0,1,
Cirrus Cloud -- DevOps Pipeline Board License,Negotiation,Southeast Asia,medium,,4,Upsell,demo2,0,0,0,
Atlas Retail Group -- 200-Store Operations Deal,Closed Won,Japan & Korea,high,2026-02-15,2,,demo4,0,0,0,
Sakura Electronics -- 100-Seat Engineering Board,Discovery,North America,low,2026-04-26,2,Enterprise|SMB,demo1,0,0,2,
Dragon Logistics -- Cross-Border Shipping Tracker,Qualified,APAC,low,2026-04-29,4,Enterprise,demo3,0,0,1,
Coral Bay Resorts -- Property Management Board,Prospect,EMEA,medium,2026-04-16,4,SMB|Renewal,,0,0,1,
Harbour Tech -- 80-Seat SaaS Startup Deal,Discovery,LATAM,medium,2026-02-19,2,Enterprise|SMB,demo2,0,0,1,
Phoenix Manufacturing -- QA Workflow License,Qualified,ANZ,medium,2026-04-05,1,Renewal,demo4,0,0,1,
Jade Capital -- Investment Pipeline Board,Demo,UK & Ireland,urgent,2026-02-20,2,,demo1,0,0,1,
Tidal Wave Media -- Content Production License,Discovery,DACH,high,2026-03-25,5,SMB|Strategic,demo3,0,0,2,
Pacific Rim Insurance -- Claims Workflow Board,Discovery,Nordics,medium,2026-04-23,5,Upsell,,0,0,2,
Golden Gate Trading -- Supply Chain Board,Qualified,Middle East,high,,8,Enterprise,demo2,0,0,0,
Orient Express Travel -- Operations Board Pilot,Prospect,Southeast Asia,medium,,5,Upsell|Renewal,demo4,0,0,1,
Bamboo Health Systems -- Patient Tracking License,Negotiation,Japan & Korea,high,2026-04-09,3,Enterprise|Strategic,demo1,0,0,0,
Meridian Consulting -- 120-Seat Strategic Deal,Qualified,North America,medium,,3,,demo3,0,0,1,
EuroTech Solutions -- Engineering Workflow License,Discovery,APAC,urgent,,4,Renewal,,0,0,0,
Nordic Finance Group -- SOC 2 Compliance Package,Demo,EMEA,low,2026-03-18,3,Enterprise|Upsell,demo2,0,0,2,
Baltic Shipping -- Logistics Board Bundle,Discovery,LATAM,high,2026-02-18,7,Strategic,demo4,0,0,0,
Alpine Engineering GmbH -- Manufacturing Board,Closed Won,ANZ,high,2026-02-28,5,Strategic|Renewal,demo1,0,0,1,
Iberian Software -- Platform Migration 200 Seats,Proposal Sent,UK & Ireland,medium,2026-03-23,7,Strategic,demo3,0,0,1,
Benelux Pharma -- Clinical Trial Board License,Proposal Sent,DACH,high,2026-03-15,5,SMB,,0,0,0,
Danube Data -- Analytics Platform Package,Discovery,Nordics,medium,2026-02-13,2,SMB,demo2,0,0,0,
Celtic Insurance -- Claims Processing Board,Demo,Middle East,high,2026-02-28,8,Upsell|Strategic,demo4,0,0,0,
Aegean Hospitality -- Resort Operations License,Proposal Sent,Southeast Asia,high,,7,,demo1,0,0,0,
Rhine Industrial -- Factory Kanban 150 Seats,Negotiation,Japan & Korea,medium,2026-03-16,5,SMB|Strategic,demo3,0,0,0,
Rio Health Network -- Hospital Operations Board,Qualified,North America,medium,2026-04-23,2,Renewal,,0,0,0,
Andean Mining Corp -- Safety Compliance Board,Prospect,APAC,medium,2026-04-13,7,Renewal|Enterprise,demo2,0,0,0,
Pampa Agritech -- Field Operations Tracker,Discovery,EMEA,low,,5,Upsell|SMB,demo4,0,0,2,
Amazonia Logistics -- Last-Mile Delivery Board,Proposal Sent,LATAM,urgent,2026-03-01,1,,demo1,0,0,0,
Patagonia Energy -- Renewable Project Tracker,Prospect,ANZ,medium,2026-04-13,3,Strategic|SMB,demo3,0,0,2,
Caribe Tourism Group -- Property Management Board,Demo,UK & Ireland,high,2026-03-29,4,Enterprise,,0,0,1,
Andes Pharmaceuticals -- Drug Development Pipeline,Qualified,DACH,medium,2026-04-26,4,Strategic|SMB,demo2,0,0,0,
Plata Financial -- Banking Compliance Board,Proposal Sent,Nordics,urgent,,5,Strategic,demo4,0,0,0,
Cono Sur Retail -- 300-Store Ops Board,Discovery,Middle East,high,2026-04-29,4,Upsell|Enterprise,demo1,0,0,1,
Mayan Software -- Engineering Team License,Demo,Southeast Asia,medium,2026-03-28,1,,demo3,0,0,2,
Quetzal Healthcare -- Clinic Management Board,Qualified,Japan & Korea,high,,5,Renewal|Upsell,,0,0,2,
Southern Cross Media -- Content Calendar License,Qualified,North America,medium,2026-04-02,6,SMB|Renewal,demo2,0,0,1,
Outback Mining -- Safety Incident Board,Proposal Sent,APAC,medium,2026-02-15,2,SMB|Strategic,demo4,0,0,2,
Harbour Digital -- 40-Seat Startup Deal,Proposal Sent,EMEA,medium,2026-03-14,2,Enterprise|SMB,demo1,0,0,1,
Kiwi Creative -- Campaign Sprint Board,Discovery,LATAM,medium,2026-04-16,2,,demo3,0,0,2,
Reef Tourism -- Guest Experience Tracker,Closed Won,ANZ,medium,2026-02-21,7,SMB,,0,0,2,
Bushland Agriculture -- Farm Operations Board,Discovery,UK & Ireland,high,2026-02-25,4,Enterprise|SMB,demo2,0,0,1,
Wallaby Fintech -- Compliance Workflow License,Proposal Sent,DACH,high,,2,Upsell|SMB,demo4,0,0,1,
Tasman Engineering -- Project Delivery Board,Prospect,Nordics,medium,,5,Strategic|Renewal,demo1,0,0,2,
Coral Coast Health -- Patient Journey Board,Negotiation,Middle East,high,2026-03-17,1,Strategic,demo3,0,0,0,
Wombat Software -- 60-Seat Engineering Deal,Qualified,Southeast Asia,high,2026-03-20,3,,,0,0,0,
