title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Fix due-date badge color for overdue cards,Backlog,Acme Corp,medium,2026-04-29,3,Feature,demo5,4,1,3,The `/api/boards/{id}/full/` endpoint is the most-called endpoint in production 
Add custom notification rules per board,Backlog,Acme Corp,low,2026-04-09,6,Feature,,0,0,1,## Problem  The login flow redirects to `/dashboard` even when the user came fro
Implement board copy feature,Backlog,Acme Corp,high,2026-03-22,1,,,0,0,3,Touch-based drag-and-drop is broken on iOS Safari 17. The `@dnd-kit/core` pointe
Add time-in-stage heatmap to analytics,Backlog,Acme Corp,high,,1,,demo2,4,1,1,"Add a ""Archive selected"" action to the bulk action toolbar. Archived cards shoul"
Document card weight feature,To Do,Acme Corp,medium,2026-03-11,4,,demo5,2,1,2,## Observed  Loading `/api/boards/{id}/full/` takes 2–3 s on a board with 800+ c
Improve accessibility of drag handles,To Do,Acme Corp,high,2026-04-07,7,"Bug,Improvement",demo4,0,0,3,## Observed  Loading `/api/boards/{id}/full/` takes 2–3 s on a board with 800+ c
Add read-only viewer role enforcement,To Do,Acme Corp,low,2026-04-13,1,,demo3,0,0,0,## Background  Users frequently miss due dates because there is no proactive not
Clean up unused CSS utility classes,To Do,Acme Corp,medium,2026-04-24,5,Bug,demo5,4,3,2,## Observed  Loading `/api/boards/{id}/full/` takes 2–3 s on a board with 800+ c
Remove deprecated /api/v1/ aliases,Doing,Acme Corp,urgent,2026-03-25,6,"Feature,Improvement",demo1,4,1,0,"Add a ""Archive selected"" action to the bulk action toolbar. Archived cards shoul"
Fix Google OAuth callback 500 on new user,Done,Acme Corp,medium,,8,,,0,0,1,The WebSocket connection silently dies when the Django backend rotates the JWT a
Fix label color picker not closing on click-outside,Backlog,Beta Team,high,2026-04-27,2,"Bug,Feature",demo1,3,2,1,The WebSocket connection silently dies when the Django backend rotates the JWT a
Migrate CI from Docker-in-Docker to kaniko,Backlog,Beta Team,medium,2026-03-18,4,Improvement,demo4,0,0,0,"Add a ""Archive selected"" action to the bulk action toolbar. Archived cards shoul"
