title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Offline-first card editing,Idea,Mobile App,high,2026-04-29,5,Core,demo2,2,0,0,Cards edited while offline should be queued locally and synced on reconnect. Con
Apple Watch complication — card due dates,Validated,Mobile App,low,2026-05-14,2,UX,demo4,3,2,0,5 power users requested glanceable due-date reminders on Apple Watch. Technicall
Barcode scanner for card attachment,Scoped,Mobile App,medium,2026-04-14,3,Core,demo1,3,2,0,"Field workers want to scan a barcode (asset ID, serial number) and attach it to "
Push notification preferences,Launched,Mobile App,medium,2026-03-05,4,UX,demo3,3,3,1,"Per-type push notification preferences (card assigned, mentioned, due soon). Lau"
AI card description generator,Idea,Core Platform,medium,2026-05-04,4,AI / ML,,3,0,0,Use AI to generate a card description from a short title. Early prototype with C
Card templates library,Scoped,Core Platform,high,2026-04-09,5,"Core,UX",demo2,4,2,0,"Allow users to save a card as a template (pre-filled title, description, checkli"
Multi-board card linking,In Build,Core Platform,high,2026-03-29,7,Core,demo4,4,2,1,Allow a card to link to one or more cards on other boards. Backend schema and AP
Board activity feed,Monitoring,Core Platform,medium,2026-02-28,4,Core,demo1,3,3,1,"Real-time board activity feed showing all card changes, movements, and comments "
Slack /visiban command,Validated,Integrations,medium,2026-04-19,4,Platform,demo3,3,2,1,Slack Slash Command `/visiban add` to create a card on a specified board from an
GitHub PR → card status sync,In Build,Integrations,high,2026-03-25,6,Platform,,4,2,1,Bidirectional sync: opening a GitHub PR linked to a card auto-moves it to the ma
Zapier integration — GA,Launched,Integrations,medium,2026-02-23,5,Platform,demo2,3,3,1,General availability of the Zapier integration with 100 published Zap templates.
CSV import with column mapping UI,Monitoring,Integrations,medium,2026-02-13,4,Platform,demo4,3,3,1,CSV import with an interactive column-mapping step that lets users drag-and-drop
Cumulative flow diagram,Idea,Analytics,medium,2026-05-04,4,Platform,demo1,2,0,0,A cumulative flow diagram showing card counts per column over time. Popular requ
Cycle time histogram,Prioritized,Analytics,high,2026-04-04,5,Platform,demo3,4,2,1,Histogram of card cycle times (first move to last move). Includes median and 85t
Throughput report — weekly/monthly,In Build,Analytics,medium,2026-03-23,4,Platform,,4,2,1,Weekly and monthly throughput report: cards completed per time period. Exportabl
Analytics API — public endpoints,Monitoring,Analytics,medium,2026-03-03,5,Platform,demo2,3,3,1,"Public API endpoints for analytics data: cycle time, throughput, WIP snapshots. "
GDPR right-to-erasure automation,Scoped,Compliance & Security,urgent,2026-04-04,7,Compliance,demo4,4,2,0,"Automate the right-to-erasure workflow: when a user requests deletion, anonymize"
SOC 2 Type II — audit logging,In Build,Compliance & Security,high,2026-03-27,6,Compliance,demo1,4,2,1,SOC 2 Type II compliance requires immutable audit logs of admin and board-level 
Mandatory 2FA for site admins,Beta,Compliance & Security,high,2026-03-20,4,Compliance,demo3,4,2,2,Site admins are required to enable 2FA. In beta with 3 enterprise accounts. SSO+
Content Security Policy headers,Monitoring,Compliance & Security,medium,2026-03-07,3,Compliance,,4,4,1,"Content Security Policy headers deployed in report-only mode, violations monitor"
