title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
OOMKilled worker pods — analytics aggregation memory leak,Assigned,Production Kubernetes,medium,,4,Security|Capacity,demo2,0,0,0,
EKS 1.28 to 1.29 cluster upgrade,Reported,CI/CD Pipeline,high,,2,Security,demo4,0,0,1,
Pod topology spread constraints — better AZ distribution,Reported,Database Cluster,medium,2026-03-26,7,Security|Capacity,demo1,0,0,0,
Cluster autoscaler tuning — reduce scale-down aggression,Change Window,CDN & Edge,medium,2026-04-19,7,Change,demo3,0,0,1,
Upgrade Kubernetes to 1.30 — deprecation review,Reported,Monitoring Stack,low,2026-03-03,1,Improve|Security,,0,0,0,
Node group instance type migration — Graviton3,Assigned,Security Infrastructure,urgent,2026-03-26,5,,demo2,0,0,1,
Pod security standards enforcement — restricted profile,Reported,Staging Environment,medium,,2,Improve|Capacity,demo4,0,0,2,
Horizontal pod autoscaler tuning — API deployment,Verified,Data Pipeline,medium,,7,Change|Capacity,demo1,0,0,0,
Ingress controller upgrade — NGINX to 1.10,Triaged,DNS & Networking,high,2026-04-23,6,Capacity|Change,demo3,0,0,0,
CoreDNS memory spike investigation,Deployed,Disaster Recovery,medium,2026-03-03,5,Incident|Security,,0,0,0,
Service mesh evaluation — Istio vs Linkerd,Reported,Production Kubernetes,medium,,5,,demo2,0,0,0,
Namespace resource quotas — enforce per-team limits,Testing,CI/CD Pipeline,medium,2026-04-07,4,Security|Incident,demo4,0,0,1,
Pipeline flakiness — Docker layer cache misses,Triaged,Database Cluster,urgent,,1,Improve,demo1,0,0,0,
Add SAST scanning job (Semgrep) to MR pipelines,Testing,CDN & Edge,medium,2026-03-14,4,Capacity|Improve,demo3,0,0,2,
Reduce test suite runtime — parallelize Vitest workers,In Progress,Monitoring Stack,low,,2,Security|Incident,,0,0,2,
Dependency scanning job — automate CVE alerting,Change Window,Security Infrastructure,medium,,8,Capacity|Security,demo2,0,0,2,
Build caching strategy overhaul — Kaniko layers,Testing,Staging Environment,high,,7,Change|Capacity,demo4,0,0,0,
Pipeline status Slack notifications — per-team channels,In Progress,Data Pipeline,urgent,2026-04-27,6,Security,demo1,0,0,2,
Artifact retention policy — reduce S3 storage costs,Triaged,DNS & Networking,medium,,5,Change,demo3,0,0,0,
MR pipeline timeout — increase from 30 to 45 minutes,Testing,Disaster Recovery,urgent,2026-02-17,7,Incident,,0,0,1,
Runner fleet scaling — add 4 spot instances,In Progress,Production Kubernetes,medium,2026-03-22,3,,demo2,0,0,0,
Container image size reduction — multi-stage builds,In Progress,CI/CD Pipeline,urgent,,3,Security|Change,demo4,0,0,2,
Pipeline analytics dashboard — build time trends,In Progress,Database Cluster,medium,2026-02-14,6,,demo1,0,0,1,
Secret scanning — prevent credential leaks in commits,Deployed,CDN & Edge,medium,2026-02-19,8,Change,demo3,0,0,0,
Replica lag spike — 45s during analytics export job,In Progress,Monitoring Stack,medium,2026-04-12,3,Change,,0,0,0,
Index bloat cleanup — card_movements table,Reported,Security Infrastructure,medium,2026-03-21,8,Security|Capacity,demo2,0,0,2,
Upgrade PostgreSQL 16.1 to 16.4 (minor patch),In Progress,Staging Environment,medium,2026-04-17,3,,demo4,0,0,2,
Evaluate pg_partman for card_movements partitioning,Change Window,Data Pipeline,high,2026-03-23,7,Change,demo1,0,0,2,
Connection pooler upgrade — PgBouncer 1.22,In Progress,DNS & Networking,medium,,4,,demo3,0,0,0,
Slow query audit — queries over 500ms,Assigned,Disaster Recovery,low,2026-04-03,7,Improve|Security,,0,0,1,
Automated vacuum tuning — large tables,Testing,Production Kubernetes,medium,2026-04-05,6,Improve|Capacity,demo2,0,0,1,
Read replica auto-scaling based on connection count,Testing,CI/CD Pipeline,high,2026-03-04,7,Improve|Change,demo4,0,0,0,
Point-in-time recovery drill — Q2 exercise,Triaged,Database Cluster,high,2026-03-04,7,Change|Incident,demo1,0,0,1,
pg_stat_statements analysis — top 20 queries,Change Window,CDN & Edge,medium,2026-03-06,8,Improve|Capacity,demo3,0,0,0,
Database parameter group review — shared_buffers tuning,Triaged,Monitoring Stack,high,2026-03-27,6,Capacity|Change,,0,0,2,
Rotate TLS certificates — production database,Reported,Security Infrastructure,medium,2026-03-13,4,Incident,demo2,0,0,2,
CloudFront cache invalidation automation for deploys,Assigned,Staging Environment,low,2026-04-15,2,Security,demo4,0,0,2,
WAF rule update — block SQL injection patterns,Triaged,Data Pipeline,medium,2026-04-16,7,Security|Change,demo1,0,0,1,
