title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Review vendor NDA — CloudPeak Inc,Needs Clarification,Contracts & Procurement,urgent,2026-03-02,7,Policy,demo4,0,0,1,
Snowflake DPA — data processing agreement,Under Review,Employment Law,medium,2026-02-24,5,,demo1,0,0,0,
AWS Enterprise Discount Program — annual renewal,Under Review,Intellectual Property,high,2026-02-18,6,"Policy,Urgent",demo3,0,0,1,
Stripe payment processing agreement renewal,Submitted,Data Privacy (GDPR),medium,2026-02-15,1,,,0,0,1,
New SaaS vendor contract — project management tool,Under Review,Regulatory Compliance,high,2026-02-16,7,"Contract,Compliance",demo2,0,0,1,
Zapier developer partner agreement review,Denied,Corporate Governance,medium,2026-04-09,3,Urgent,demo4,0,0,1,
Accounting software DPA — new bookkeeping vendor,Archived,Litigation Management,urgent,2026-02-18,2,OSS,demo1,0,0,0,
Cloud hosting MSA — GCP commitment terms,Under Review,Insurance & Risk,medium,2026-04-24,3,Policy,demo3,0,0,0,
Office supplies procurement — annual contract renewal,Submitted,Real Estate & Leases,low,2026-04-11,1,OSS,,2,0,0,
IT hardware vendor agreement — laptop fleet refresh,Under Review,Tax & Finance,medium,2026-03-06,7,"OSS,Urgent",demo2,0,0,0,
Consulting services MSA — design agency retainer,Denied,Contracts & Procurement,high,2026-04-12,2,,demo4,4,3,1,
Software license audit — annual true-up review,Submitted,Employment Law,urgent,,4,Urgent,demo1,0,0,1,
Independent contractor agreement — new design consultant,Needs Clarification,Intellectual Property,high,2026-04-04,2,"Contract,Urgent",demo3,3,1,0,
Remote work policy update — international contractors,Under Review,Data Privacy (GDPR),medium,,3,Compliance,,0,0,0,
Equity plan amendment — RSU vesting cliff change,Archived,Regulatory Compliance,high,2026-03-03,7,Urgent,demo2,0,0,1,
Parental leave policy — align to UK statutory minimum,Submitted,Corporate Governance,high,2026-04-02,6,Policy,demo4,5,3,0,
Non-compete clause review — departing VP Engineering,Approved,Litigation Management,medium,2026-03-15,5,,demo1,2,2,2,
Severance agreement — terminated employee,Archived,Insurance & Risk,low,,7,Contract,demo3,0,0,0,
Employee handbook annual update — Q2 2026,Under Review,Real Estate & Leases,urgent,,1,,,2,1,2,
Contractor classification audit — IRS 20-factor test,Denied,Tax & Finance,high,2026-04-28,8,Contract,demo2,0,0,2,
Workplace harassment policy — annual training compliance,Under Review,Contracts & Procurement,medium,2026-02-20,8,,demo4,0,0,0,
Immigration sponsorship — H-1B petition for engineer,Under Review,Employment Law,medium,2026-03-29,1,Urgent,demo1,0,0,0,
Equity refresh grant — board approval package,Archived,Intellectual Property,low,,2,"Contract,Urgent",demo3,0,0,0,
Return-to-office policy — hybrid work agreement template,Under Review,Data Privacy (GDPR),medium,2026-04-12,4,Compliance,,3,2,1,
Apache 2.0 compatibility review — new OSS dependencies,Submitted,Regulatory Compliance,medium,2026-02-27,4,OSS,demo2,0,0,2,
BUSL license review — HashiCorp Terraform,Under Review,Corporate Governance,medium,2026-02-22,5,Policy,demo4,0,0,1,
Trademark application — Visiban wordmark in EU,Needs Clarification,Litigation Management,urgent,2026-03-20,5,,demo1,3,3,2,
Patent prior art search — board analytics algorithm,Submitted,Insurance & Risk,urgent,2026-02-24,8,,demo3,0,0,0,
IP assignment agreement — new hire onboarding,Submitted,Real Estate & Leases,medium,2026-04-07,3,"Urgent,OSS",,5,4,0,
Open-source contribution policy update,Archived,Tax & Finance,low,2026-04-29,7,Urgent,demo2,0,0,2,
Copyright takedown response — DMCA notice received,Denied,Contracts & Procurement,low,2026-02-13,7,Policy,demo4,4,2,0,
Trade secret audit — classify internal documentation,Archived,Employment Law,high,2026-04-26,3,Contract,demo1,0,0,2,
Domain name portfolio review — renewal decisions,Needs Clarification,Intellectual Property,urgent,2026-03-15,7,"OSS,Contract",demo3,0,0,1,
Logo trademark opposition — similar mark in Class 9,Archived,Data Privacy (GDPR),high,,7,,,0,0,0,
OSS license compliance scan — quarterly CI report,Needs Clarification,Regulatory Compliance,medium,2026-03-23,6,,demo2,0,0,1,
Invention disclosure review — card AI features,Under Review,Corporate Governance,medium,2026-04-18,8,,demo4,0,0,2,
GDPR data mapping audit — Q2,Denied,Litigation Management,medium,2026-04-15,4,Contract,demo1,0,0,2,
Data subject access request — user 4821,Needs Clarification,Insurance & Risk,high,2026-04-23,3,,demo3,0,0,2,
Privacy impact assessment — analytics dashboard feature,Needs Clarification,Real Estate & Leases,medium,2026-02-17,6,Urgent,,0,0,0,
Cookie consent mechanism audit — ePrivacy compliance,Approved,Tax & Finance,medium,2026-03-19,1,"Urgent,OSS",demo2,0,0,2,
Standard contractual clauses update — Schrems II,Submitted,Contracts & Procurement,high,2026-03-28,6,OSS,demo4,5,2,2,
GDPR Article 30 records of processing update,Archived,Employment Law,high,,6,"Contract,Compliance",demo1,4,2,0,
Data breach notification procedure — annual drill,Under Review,Intellectual Property,high,2026-04-01,2,OSS,demo3,0,0,1,
Privacy policy update — AI feature disclosures,Needs Clarification,Data Privacy (GDPR),medium,,6,"Urgent,Compliance",,0,0,1,
Third-party data sharing agreement — analytics partner,Submitted,Regulatory Compliance,high,,2,,demo2,5,2,0,
Children's data assessment — COPPA compliance check,Under Review,Corporate Governance,medium,2026-03-22,8,"Policy,Contract",demo4,3,1,2,
Cross-border data transfer review — new APAC region,Archived,Litigation Management,medium,,3,Compliance,demo1,0,0,0,
Data retention policy review — align to legal minimums,Submitted,Insurance & Risk,medium,2026-04-03,2,"OSS,Contract",demo3,0,0,0,
SOC 2 Type II audit — evidence package assembly,Approved,Real Estate & Leases,low,2026-03-01,4,,,0,0,0,
