title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Bright Solutions Inc — Onboarding kickoff,Healthy,Americas,medium,,6,,demo4,0,0,2,
RocketOps LLC — Drive adoption past 30% DAU,Expansion,EMEA,high,,1,At Risk,demo1,5,2,2,
Cirrus Analytics — Quarterly business review,Adoption,APAC,medium,,5,Expansion Opportunity,demo3,2,0,0,
Vertex Media — Seat expansion 80 to 150,Adoption,Enterprise Accounts,medium,2026-02-14,8,,,0,0,0,
Summit Financial — Compliance feature enablement,Onboarding,Mid-Market,medium,2026-03-24,5,"Expansion Opportunity,Renewal Due",demo2,5,1,2,
NovaGen Biotech — Admin training session,Adoption,Strategic Partners,medium,2026-03-20,5,"Champion,QBR Needed",demo4,0,0,1,
Forge Analytics — Health score review,Expansion,Government & Edu,high,2026-02-16,8,,demo1,5,1,0,
Apex Manufacturing — Champion identification,Healthy,Healthcare,high,2026-03-23,3,,demo3,0,0,1,
Redstone Energy — Renewal proposal preparation,Expansion,Financial Services,high,,3,,,0,0,0,
Cascade Software — NPS follow-up and case study ask,Adoption,Startup & SMB,medium,,5,"Expansion Opportunity,QBR Needed",demo2,0,0,1,
Pinnacle Consulting — Executive sponsor alignment,Renewal,Agency & Creative,high,2026-02-22,8,,demo4,0,0,0,
Polaris Engineering GmbH — Onboarding with SSO,Adoption,Americas,medium,2026-03-04,3,,demo1,5,3,1,
Meridian Consulting UK — Low adoption intervention,Healthy,EMEA,urgent,,3,"Renewal Due,QBR Needed",demo3,0,0,1,
Solaris Digital — Self-service health check,Expansion,APAC,low,,4,Champion,,4,3,0,
Atlas Logistics BV — 200-seat renewal + expansion,Healthy,Enterprise Accounts,high,2026-03-28,7,,demo2,0,0,2,
Rhine Pharma AG — Compliance QBR,Onboarding,Mid-Market,medium,,3,QBR Needed,demo4,0,0,1,
Nordic SaaS Co — Feature adoption deep-dive,Expansion,Strategic Partners,high,2026-02-19,2,At Risk,demo1,0,0,2,
Baltic Manufacturing — Onboarding with custom template,Expansion,Government & Edu,medium,2026-02-14,5,QBR Needed,demo3,3,2,0,
Iberian Retail — Champion development program,Expansion,Healthcare,urgent,2026-03-10,6,"Champion,At Risk",,0,0,0,
Celtic Insurance — Renewal risk mitigation,Expansion,Financial Services,medium,2026-02-13,1,QBR Needed,demo2,0,0,1,
Benelux Digital — Expansion from 40 to 80 seats,Expansion,Startup & SMB,low,,4,"Expansion Opportunity,Renewal Due",demo4,3,1,1,
Danube Consulting — Churn prevention check-in,Expansion,Agency & Creative,medium,2026-04-10,5,,demo1,4,2,0,
Nexus Software — CTO-led onboarding,Expansion,Americas,urgent,2026-03-01,1,,demo3,0,0,2,
Harbor Tech — Analytics feature adoption,Adoption,EMEA,medium,2026-03-01,8,,,5,1,2,
Pacific Ventures — Reference call recruitment,Healthy,APAC,high,2026-03-29,7,At Risk,demo2,0,0,2,
Koala Systems — Post-churn re-engagement plan,Adoption,Enterprise Accounts,medium,,1,"Renewal Due,Champion",demo4,5,4,1,
Sakura Corp — Enterprise onboarding 300 seats,Churned,Mid-Market,high,2026-04-19,4,"Expansion Opportunity,QBR Needed",demo1,0,0,0,
