title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Kong rate-limit plugin — false positives on mobile clients,Verified,API Gateway,high,2026-02-28,5,Incident,demo3,5,5,2,Kong rate-limit plugin was triggering false 429s on mobile clients sharing a NAT
Upgrade Kong from 3.3 to 3.6 — CVE-2024-2087 patch,Deployed,API Gateway,high,2026-03-13,5,"Security,Change",,4,4,1,Kong upgrade from 3.3 to 3.6 to patch CVE-2024-2087 (DoS via JWT plugin). Comple
Add distributed tracing headers (W3C traceparent) to gateway,Testing,API Gateway,medium,2026-03-23,4,Improve,demo2,4,2,1,Add W3C traceparent distributed tracing headers to the API gateway. Enables end-
Gateway connection pool exhaustion alert — thresholds too low,In Progress,API Gateway,medium,2026-03-19,3,Improve,demo4,4,2,0,"Current connection pool alerts fire at 50% utilization, causing alert fatigue. U"
Replica lag spike — 45s lag during analytics export job,Verified,PostgreSQL Cluster,high,2026-02-25,6,Incident,demo1,4,4,2,Replica lag spike to 45s during analytics export job due to full-table scan on p
Index bloat cleanup — card_movements table,Deployed,PostgreSQL Cluster,medium,2026-03-10,4,Improve,demo3,4,4,1,"Cleaned up index bloat on card_movements table. Removed 3 dead indexes, ran REIN"
Upgrade PostgreSQL 16.1 → 16.4 (minor patch),Change Window,PostgreSQL Cluster,medium,2026-03-17,4,Change,,4,3,1,PostgreSQL minor upgrade 16.1 → 16.4. Three bug fixes including COPY binary enco
Evaluate pg_partman for card_movements partitioning,Triaged,PostgreSQL Cluster,medium,2026-04-09,5,Capacity,demo2,3,0,0,card_movements is growing at ~500k rows/week and will hit 30M rows in 6 months. 
Pipeline flakiness — Docker layer cache misses on main branch,Verified,CI/CD Pipeline,high,2026-03-03,5,Incident,demo4,4,4,2,Pipeline flakiness caused by Kaniko layer cache eviction during peak hours (24h 
Add SAST scanning job (Semgrep) to merge request pipelines,Deployed,CI/CD Pipeline,medium,2026-03-07,4,"Security,Change",demo1,4,4,1,Semgrep SAST scanning added to MR pipelines. Blocks on critical findings. Two re
Reduce test suite runtime — parallelize Vitest workers,Testing,CI/CD Pipeline,medium,2026-03-20,4,Improve,demo3,4,3,1,Frontend test suite was running 4 large suites sequentially. Increased Vitest wo
Dependency scanning job — automate CVE alerting,Assigned,CI/CD Pipeline,medium,2026-03-25,3,Security,,4,0,0,Add automated dependency scanning to CI pipeline. Scan built Docker images for C
S3 presigned URL expiry too short — file upload failures on slow connections,Verified,Object Storage (S3),high,2026-02-23,4,Incident,demo2,4,4,2,Large file uploads failing on slow mobile connections because presigned URLs exp
Lifecycle policy — expire temporary upload staging prefix,Deployed,Object Storage (S3),medium,2026-03-09,3,Improve,demo4,4,4,1,S3 tmp/ prefix was accumulating failed partial uploads indefinitely. Added 24-ho
Enable S3 Object Lock for backup buckets (WORM compliance),In Progress,Object Storage (S3),medium,2026-03-23,5,"Security,Change",demo1,4,2,1,Enable S3 Object Lock (WORM) on the backup bucket to satisfy 7-year retention co
S3 cross-region replication lag monitoring,Triaged,Object Storage (S3),medium,2026-03-30,3,Improve,demo3,3,0,0,Cross-region replication from us-east-1 to eu-west-1 has no lag monitoring. Need
OOMKilled worker pods — analytics aggregation job memory leak,Verified,Kubernetes Cluster,high,2026-03-05,6,Incident,,4,4,2,Worker pods OOMKilled due to unbounded in-process cache growth between Celery ta
EKS 1.28 → 1.29 cluster upgrade,Deployed,Kubernetes Cluster,high,2026-03-12,7,Change,demo2,5,5,2,EKS cluster upgrade from 1.28 to 1.29. Zero API deprecation breaking changes. Ro
Pod topology spread constraints — better AZ distribution,Testing,Kubernetes Cluster,medium,2026-03-21,4,Improve,demo4,4,2,1,API pods are disproportionately placed in us-east-1a (70%) due to node group pre
Cluster autoscaler tuning — reduce scale-down aggression,Assigned,Kubernetes Cluster,medium,2026-03-24,4,Capacity,demo1,4,2,0,"Cluster autoscaler is scaling down too aggressively after traffic spikes, causin"
