title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Offline mode: optimistic updates + sync on reconnect,Scored,Mobile App,medium,2026-04-14,5,"Core,Platform",demo3,4,1,1,Allow users to move cards and add comments while offline. Changes are queued loc
Push notifications for due date approaching,Roadmapped,Mobile App,high,2026-03-29,4,Core,demo1,4,2,1,Send a push notification to the card assignee 24h before the due date.  ## Accep
Drag-to-reorder cards on mobile (touch DnD),In Dev,Mobile App,high,2026-03-22,4,UX,demo2,3,1,1,Desktop drag-and-drop uses pointer events. Touch devices need a separate touch s
Deep link: open card from push notification,Beta / QA,Mobile App,medium,2026-03-12,3,Core,demo1,3,2,1,Push notifications should deep-link directly to the relevant card. URL scheme: `
Dark mode support on iOS 17,GA,Mobile App,low,,2,UX,demo2,3,3,1,iOS 17 users reported the app ignores system dark mode preference. The web view 
GraphQL endpoint for board data,Idea,API Platform,low,,5,Platform,,3,0,1,Some enterprise customers want a GraphQL API to query specific card fields witho
API v2 planning: deprecate v1 field naming,Scored,API Platform,medium,2026-05-14,5,Platform,,3,0,0,Several v1 field names are inconsistent (e.g. `last_moved` vs `last_moved_at`). 
OpenAPI spec auto-generation from DRF viewsets,Roadmapped,API Platform,medium,2026-04-05,3,Platform,demo3,3,1,0,Add `drf-spectacular` to auto-generate an OpenAPI 3.1 spec from DRF viewsets and
Webhook delivery retries with exponential backoff,In Dev,API Platform,high,2026-03-25,4,Platform,demo3,3,2,1,"Currently, failed webhook deliveries are retried immediately 3× with no delay. R"
Per-token rate limiting on public API,Beta / QA,API Platform,high,2026-03-20,3,"Compliance,Platform",demo4,4,3,1,"Apply per-API-token rate limits to all public endpoints. Default: 1,000 req/hour"
Stale card heatmap on board view,Scored,Analytics,low,2026-04-29,3,UX,,3,0,0,Overlay a heatmap on the board grid showing which cells have the most stale card
Cycle time by priority,Roadmapped,Analytics,medium,2026-04-14,3,Core,,3,0,0,Show average cycle time (first move → Done) broken down by priority. Helps teams
Cumulative flow diagram,In Dev,Analytics,medium,2026-03-29,4,Core,demo4,4,2,0,Cumulative flow diagram (CFD) shows card counts per column over time. Key insigh
Board throughput chart (cards completed per week),Beta / QA,Analytics,medium,2026-03-10,4,"Core,UX",demo2,3,2,1,Add a throughput chart to the Analytics tab showing how many cards entered the D
CSV export: card movement history,GA,Analytics,low,,2,Core,demo3,3,3,1,"Allow board admins to download a CSV of all card movements.  Columns: card_id, t"
Zapier connector (trigger + action),Idea,Integrations,low,,3,Platform,,4,0,0,"Publish a Visiban app on Zapier with:  **Triggers**: Card moved, Card created, D"
Jira importer: migrate boards and cards,Scored,Integrations,medium,2026-04-29,5,Core,,4,0,1,"One-time import from Jira Cloud.  Mapping: Jira Project → Board, Jira Issue Stat"
GitHub: link pull request to card,Roadmapped,Integrations,medium,2026-04-05,4,Platform,demo3,4,1,0,"Allow users to link a GitHub PR to a card. When the PR is merged, move the card "
Slack: card move notifications to channel,In Dev,Integrations,high,2026-03-22,4,Core,demo2,4,2,1,"When a card is moved to a configured column, post a Slack message to a designate"
Linear sync (two-way card ↔ issue),Beta / QA,Integrations,high,2026-03-14,5,Platform,demo4,4,2,1,Two-way sync between Visiban cards and Linear issues:  - Linear issue created → 
White-label theming (logo + primary colour),Idea,Enterprise,medium,,3,UX,,3,0,1,Allow enterprise customers to set their own logo and primary brand colour. Confi
SCIM 2.0 user provisioning,Scored,Enterprise,high,2026-04-14,5,"Compliance,Platform",,3,0,0,Allow enterprise IdPs to automatically provision and deprovision users via SCIM 
Multi-tenancy: strict org isolation,Roadmapped,Enterprise,urgent,2026-03-29,5,"Compliance,Platform",demo3,4,1,1,Ensure data from one organisation is never accessible from another.  Implementat
Audit log export (admin panel),In Dev,Enterprise,high,2026-03-25,4,Compliance,demo4,4,1,0,Enterprise admins need to export a complete audit log for compliance. Fields: ti
SAML / SSO integration,Beta / QA,Enterprise,urgent,2026-03-18,5,"Compliance,Platform",demo3,4,3,1,"Support SAML 2.0 SSO for enterprise customers using IdPs such as Okta, Azure AD,"
