title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Accessible focus rings on all interactive elements,Doing,Frontend,high,2026-02-16,6,"Feature,Tech Debt",,0,0,2,
Implement card search with debounce,Backlog,Backend,low,2026-02-14,5,,demo2,3,0,2,
Extract color token constants to design-system package,Doing,Mobile,high,,7,"Blocked,Bug",demo4,0,0,1,
Optimistic update for card weight field,Doing,DevOps,high,2026-04-03,1,"Tech Debt,Improve",demo1,0,0,1,
Refactor board header into composable sub-components,Doing,Design,low,2026-03-03,8,,demo3,0,0,0,
Add skeleton loaders to board and card detail views,Backlog,QA,urgent,2026-04-23,3,"Tech Debt,Bug",,3,1,1,
Fix column header z-index stacking in Safari,Doing,Data,high,2026-04-21,7,Tech Debt,demo2,0,0,1,
Implement virtual scrolling for boards with 500+ cards,Review,Security,urgent,2026-03-03,3,Tech Debt,demo4,5,4,0,
Add keyboard shortcut overlay (Shift+?),Doing,Platform,medium,2026-04-29,8,"Bug,Blocked",demo1,4,4,2,
Migrate remaining class components to hooks,To Do,Documentation,medium,2026-03-21,3,,demo3,0,0,1,
Fix swimlane drag handle contrast in dark mode,To Do,Growth,medium,,7,,,5,4,0,
Add cursor-based pagination to card list endpoint,Doing,Frontend,low,2026-03-21,7,"Improve,Blocked",demo2,0,0,0,
Rate limiting on public invite accept endpoint,To Do,Backend,high,2026-04-17,3,,demo4,4,2,0,
Bulk card archive endpoint,To Do,Mobile,low,2026-04-25,4,Improve,demo1,2,1,2,
N+1 fix on /api/boards/ list endpoint,Done,DevOps,urgent,2026-03-27,6,,demo3,0,0,1,
Refactor auth middleware to support API key authentication,To Do,Design,high,2026-04-22,6,"Bug,Improve",,0,0,0,
Add pagination to search API,Doing,QA,low,2026-03-27,6,Improve,demo2,0,0,2,
Implement card comment edit endpoint,Doing,Data,medium,2026-03-24,6,"Tech Debt,Bug",demo4,0,0,2,
Add board-level webhook configuration,Backlog,Security,medium,,4,,demo1,0,0,2,
Optimize CardMovement query for analytics heatmap,Done,Platform,high,,5,Bug,demo3,0,0,0,
Add ETag support to board full endpoint,Doing,Documentation,medium,2026-02-17,8,Bug,,2,1,2,
Fix race condition in concurrent card move,To Do,Growth,medium,2026-04-22,6,Improve,demo2,4,1,0,
Card swipe gestures for quick archive,Doing,Frontend,medium,2026-03-28,8,Tech Debt,demo4,0,0,2,
